train accuracy,test accuracy
0.5007,0.4979
0.5466,0.6013
0.6265,0.642
0.6595,0.6814
0.6753,0.688
0.6895,0.6802
0.6987,0.6937
0.707,0.6907
0.7128,0.7239
0.7235,0.7071
0.7246,0.718
0.7304,0.7391
0.7376,0.7411
0.7386,0.731
0.7401,0.7473
0.7489,0.7454
0.7524,0.7562
0.7519,0.7499
0.757,0.756
0.76,0.7626
