train accuracy,test accuracy
0.8929,0.942
0.9541,0.9618
0.9657,0.9701
0.9721,0.9726
0.9756,0.9764
0.9782,0.9774
0.9805,0.9792
0.9818,0.9805
0.9835,0.9815
0.9845,0.9826
0.986,0.9838
0.9869,0.984
0.988,0.9842
0.9885,0.9844
0.9897,0.9838
0.9904,0.9862
0.9908,0.9851
0.9915,0.9865
0.9923,0.9861
0.9925,0.9869
