train accuracy,test accuracy
0.5034,0.5022
0.5002,0.4962
0.5013,0.4962
0.5002,0.5068
0.5,0.4994
0.5006,0.5032
0.4991,0.4978
0.4989,0.4934
0.497,0.5014
0.5018,0.5018
0.5011,0.4994
0.5006,0.5058
0.4991,0.5106
0.4973,0.5002
0.4985,0.5016
0.4986,0.4936
0.4988,0.4936
0.5014,0.4994
0.4993,0.505
0.5009,0.5022
