train accuracy,test accuracy
0.5615,0.6252
0.6254,0.6313
0.6405,0.6444
0.6443,0.6464
0.6504,0.6534
0.6516,0.6511
0.6534,0.6511
0.6588,0.6533
0.6567,0.6546
0.6597,0.6586
0.6574,0.6512
0.6674,0.6567
0.6618,0.6545
0.6637,0.6695
0.6625,0.6636
0.6618,0.6679
0.6614,0.6591
0.6614,0.6677
0.6624,0.6701
0.6659,0.6584
