train accuracy,test accuracy
0.4983,0.491
0.504,0.4924
0.4961,0.4996
0.5014,0.5044
0.5007,0.4952
0.4979,0.4986
0.4996,0.5002
0.5016,0.5018
0.5003,0.4918
0.4983,0.4922
0.5028,0.5072
0.5025,0.4958
0.5,0.5018
0.5038,0.4912
0.5013,0.498
0.5031,0.508
0.4981,0.4966
0.5005,0.496
0.5012,0.4964
0.4984,0.4904
