train accuracy,test accuracy
0.5008,0.5064
0.5377,0.5791
0.6028,0.628
0.657,0.6736
0.6841,0.6893
0.6964,0.7004
0.7049,0.7258
0.7159,0.7172
0.7242,0.7284
0.7322,0.7317
0.739,0.7386
0.7444,0.7472
0.7497,0.749
0.7543,0.7569
0.7563,0.7712
0.7621,0.7639
0.7685,0.7671
0.7681,0.7754
0.7727,0.7732
0.7765,0.7806
