train accuracy,test accuracy
0.6752,0.7688
0.7825,0.8062
0.8052,0.8189
0.8177,0.8318
0.8269,0.8381
0.8314,0.8387
0.8358,0.8478
0.8387,0.8492
0.8429,0.8517
0.8457,0.8526
0.8483,0.8592
0.8502,0.8559
0.8524,0.8596
0.8526,0.8648
0.8549,0.86
0.8548,0.8624
0.857,0.8645
0.8592,0.8644
0.8588,0.8641
0.86,0.8702
