train accuracy,test accuracy
0.7736,0.8222
0.7942,0.8096
0.7951,0.7815
0.7918,0.8282
0.7894,0.8334
0.788,0.8045
0.7896,0.8057
0.7896,0.7951
0.7924,0.7845
0.7939,0.7712
0.7897,0.8098
0.7918,0.7819
0.7876,0.7471
0.7935,0.8097
0.7869,0.7736
0.7889,0.7924
0.793,0.7721
0.791,0.8086
0.7883,0.7896
0.7907,0.8152
