train accuracy,test accuracy
0.4988,0.5072
0.5004,0.5075
0.5106,0.5009
0.5662,0.5928
0.6284,0.6606
0.7058,0.7773
0.8065,0.8565
0.8677,0.8752
0.8969,0.9115
0.9135,0.9224
0.9256,0.9272
0.9342,0.9333
0.9398,0.9432
0.9452,0.9428
0.9483,0.9445
0.9519,0.9465
0.955,0.9509
0.9591,0.9469
0.961,0.9532
0.9622,0.9511
