train accuracy,test accuracy
0.8903,0.938
0.948,0.95
0.9551,0.9523
0.9588,0.9551
0.9615,0.9588
0.9635,0.96
0.9652,0.9637
0.9647,0.9597
0.9661,0.9623
0.9667,0.9635
0.9671,0.9655
0.9683,0.9636
0.9687,0.9643
0.9684,0.9667
0.9694,0.9669
0.9698,0.9678
0.9698,0.9657
0.9696,0.9674
0.9706,0.9668
0.9709,0.9682
