train accuracy,test accuracy
0.7792,0.8303
0.8079,0.8253
0.8125,0.8172
0.8111,0.817
0.8157,0.8321
0.8175,0.8318
0.813,0.8374
0.8158,0.8116
0.8167,0.842
0.8137,0.8213
0.8141,0.8026
0.8191,0.8196
0.8145,0.8439
0.8168,0.806
0.8132,0.8188
0.8177,0.8289
0.8162,0.8213
0.8165,0.8336
0.8174,0.8169
0.8171,0.7996
