train accuracy,test accuracy
0.6988,0.7947
0.7948,0.8189
0.81,0.8268
0.8212,0.8361
0.8309,0.8429
0.8343,0.8467
0.8391,0.8504
0.8424,0.8523
0.8458,0.8554
0.8489,0.8601
0.8502,0.8617
0.8518,0.8642
0.854,0.8641
0.8559,0.8656
0.8563,0.8643
0.8566,0.8622
0.8599,0.8685
0.8589,0.8675
0.8595,0.864
0.86,0.8682
