train accuracy,test accuracy
0.499,0.4998
0.4989,0.4932
0.499,0.4982
0.4991,0.4972
0.4977,0.495
0.4974,0.4978
0.5006,0.501
0.5015,0.4956
0.4955,0.4972
0.5006,0.4964
0.4995,0.5
0.4988,0.4982
0.5026,0.4988
0.4996,0.496
0.5016,0.5037
0.497,0.5098
0.4992,0.5018
0.497,0.4971
0.501,0.4946
0.4959,0.4977
