train accuracy,test accuracy
0.4644,0.6273
0.6574,0.6721
0.7117,0.7227
0.7393,0.7742
0.7573,0.7849
0.7726,0.7875
0.7841,0.7828
0.7951,0.795
0.7977,0.8056
0.8045,0.8228
0.8082,0.8152
0.8142,0.823
0.8174,0.8339
0.8246,0.8283
0.824,0.8303
0.8294,0.825
0.8287,0.8416
0.834,0.8376
0.8364,0.8443
0.837,0.8367
