train accuracy,test accuracy
0.8889,0.9331
0.9392,0.9439
0.9459,0.9351
0.9527,0.9465
0.9556,0.9461
0.9594,0.9491
0.9595,0.9514
0.9624,0.9555
0.9624,0.9582
0.9625,0.9506
0.9661,0.961
0.966,0.96
0.9665,0.9607
0.9681,0.9585
0.9681,0.9524
0.9672,0.9582
0.9701,0.9616
0.971,0.9632
0.9711,0.9586
0.9724,0.9578
