train accuracy,test accuracy
0.503,0.503
0.4997,0.4924
0.501,0.4978
0.5036,0.5076
0.4999,0.5018
0.4976,0.5004
0.4993,0.4976
0.5033,0.5026
0.4978,0.4968
0.498,0.51
0.5007,0.509
0.499,0.502
0.498,0.499
0.5002,0.5072
0.4989,0.4918
0.4989,0.4994
0.5005,0.5048
0.4996,0.5026
0.5011,0.499
0.4953,0.5054
